Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","128","China, Macao SAR","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","376232","Fc","Calculated data"
"TI","Trade Indices","128","China, Macao SAR","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","9738","Fc","Calculated data"
"TI","Trade Indices","128","China, Macao SAR","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","67","Fc","Calculated data"
"TI","Trade Indices","128","China, Macao SAR","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","213409","Fc","Calculated data"
"TI","Trade Indices","128","China, Macao SAR","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","1582","Fc","Calculated data"
"TI","Trade Indices","128","China, Macao SAR","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","235","Fc","Calculated data"
"TI","Trade Indices","41","China, mainland","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","62205011","Fc","Calculated data"
"TI","Trade Indices","41","China, mainland","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","15137258","Fc","Calculated data"
"TI","Trade Indices","41","China, mainland","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","228","Fc","Calculated data"
"TI","Trade Indices","41","China, mainland","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","38728983","Fc","Calculated data"
"TI","Trade Indices","41","China, mainland","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","11734704","Fc","Calculated data"
"TI","Trade Indices","41","China, mainland","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","239","Fc","Calculated data"
"TI","Trade Indices","214","China, Taiwan Province of","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","5514789","Fc","Calculated data"
"TI","Trade Indices","214","China, Taiwan Province of","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","689886","Fc","Calculated data"
